hostname,registered_domain,url,status,title,lev_distance,whois_days,suspicion_score
erpsitdmz.airtel.in,airtel.in,https://erpsitdmz.airtel.in:443,,E-Business Suite Home Page Redirect,0,7569,4
erpdmz.airtel.in,airtel.in,https://erpdmz.airtel.in:443,,302 Found,0,7569,4
digivoice.airtel.in,airtel.in,https://digivoice.airtel.in:443,,,0,7569,4
es1.airtel.in,airtel.in,https://es1.airtel.in:443,,Error,0,7569,4
airteluc2.airtel.in,airtel.in,http://airteluc2.airtel.in:80,,Welcome to nginx!,0,7569,4
iqbot-webhook.airtel.in,airtel.in,https://iqbot-webhook.airtel.in:443,,,0,7569,4
iotm2m.airtel.in,airtel.in,https://iotm2m.airtel.in:443,,,0,7569,4
iqsmsorc.airtel.in,airtel.in,https://iqsmsorc.airtel.in:443,,301 Moved Permanently,0,7569,4
i.airtel.in,airtel.in,https://i.airtel.in:443,,,0,7569,4
enterprise.airtel.in,airtel.in,https://enterprise.airtel.in:443,,Airtel,0,7569,4
lg.airtel.in,airtel.in,https://lg.airtel.in:443,,Commercial Communication Platform,0,7569,4
m.airtel.in,airtel.in,https://m.airtel.in:443,,,0,7569,4
mrevenue.airtel.in,airtel.in,https://mrevenue.airtel.in:443,,,0,7569,4
iqmessaging.airtel.in,airtel.in,https://iqmessaging.airtel.in:443,,,0,7569,4
mumbaispeedtest2.airtel.in,airtel.in,https://mumbaispeedtest2.airtel.in:443,,Speedtest.net Mini Bandwidth Speed Test,0,7569,4
nps.airtel.in,airtel.in,https://nps.airtel.in:443,,,0,7569,4
mumbaispeedtest1.airtel.in,airtel.in,https://mumbaispeedtest1.airtel.in:443,,Speedtest.net Mini Bandwidth Speed Test,0,7569,4
north-auth.cloud.airtel.in,airtel.in,https://north-auth.cloud.airtel.in:443,,,0,7569,4
openapi.airtel.in,airtel.in,https://openapi.airtel.in:443,,301 Moved Permanently,0,7569,4
openapifiles.airtel.in,airtel.in,https://openapifiles.airtel.in:443,,,0,7569,4
partners.airtel.in,airtel.in,https://partners.airtel.in:443,,Welcome to nginx!,0,7569,4
partners-uat.airtel.in,airtel.in,https://partners-uat.airtel.in:443,,Welcome to nginx!,0,7569,4
revenue.airtel.in,airtel.in,https://revenue.airtel.in:443,,Corestocky NG,0,7569,4
psatest.airtel.in,airtel.in,https://psatest.airtel.in:443,,,0,7569,4
securitybugs.airtel.in,airtel.in,https://securitybugs.airtel.in:443,,,0,7569,4
portal.dashboard.airtel-advantage.airtel.in,airtel.in,https://portal.dashboard.airtel-advantage.airtel.in:443,,HTTP Status 404 – Not Found,0,7569,5
sentry.airtel.in,airtel.in,https://sentry.airtel.in:443,,,0,7569,4
opennetwork.airtel.in,airtel.in,https://opennetwork.airtel.in:443,,,0,7569,4
smdp.airtel.in,airtel.in,https://smdp.airtel.in:443,,403 Forbidden,0,7569,4
telemediacpportal.airtel.in,airtel.in,https://telemediacpportal.airtel.in:443,,Not Found,0,7569,5
tracemateplus.airtel.in,airtel.in,https://tracemateplus.airtel.in:443,,Redirecting...,0,7569,4
traispeedban1.myspeed.tsp.airtel.in,airtel.in,https://traispeedban1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedbbs1.myspeed.tsp.airtel.in,airtel.in,https://traispeedbbs1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedbha1.myspeed.tsp.airtel.in,airtel.in,https://traispeedbha1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedchn1.myspeed.tsp.airtel.in,airtel.in,https://traispeedchn1.myspeed.tsp.airtel.in:443,,,0,7569,4
speedtestggn1.airtel.in,airtel.in,https://speedtestggn1.airtel.in:443,,Test Page for the HTTP Server on Red Hat Enterprise Linux,0,7569,4
paydigi.airtel.in,airtel.in,https://paydigi.airtel.in:443,,,0,7569,5
traispeedchndc1.myspeed.tsp.airtel.in,airtel.in,https://traispeedchndc1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedcgr1.myspeed.tsp.airtel.in,airtel.in,https://traispeedcgr1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedchv1.myspeed.tsp.airtel.in,airtel.in,https://traispeedchv1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedjai1.myspeed.tsp.airtel.in,airtel.in,https://traispeedjai1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedgov1.myspeed.tsp.airtel.in,airtel.in,https://traispeedgov1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedjbl1.myspeed.tsp.airtel.in,airtel.in,https://traispeedjbl1.myspeed.tsp.airtel.in:443,,,0,7569,4
speedtestmum1.airtel.in,airtel.in,https://speedtestmum1.airtel.in:443,,Test Page for the HTTP Server on Red Hat Enterprise Linux,0,7569,4
traispeedjor1.myspeed.tsp.airtel.in,airtel.in,https://traispeedjor1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedkrd1.myspeed.tsp.airtel.in,airtel.in,https://traispeedkrd1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedjpr1.myspeed.tsp.airtel.in,airtel.in,https://traispeedjpr1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedkgp1.myspeed.tsp.airtel.in,airtel.in,https://traispeedkgp1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedkol1.myspeed.tsp.airtel.in,airtel.in,https://traispeedkol1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedlud1.myspeed.tsp.airtel.in,airtel.in,https://traispeedlud1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedplc1.myspeed.tsp.airtel.in,airtel.in,https://traispeedplc1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedngp1.myspeed.tsp.airtel.in,airtel.in,https://traispeedngp1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedmrt1.myspeed.tsp.airtel.in,airtel.in,https://traispeedmrt1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedmoh1.myspeed.tsp.airtel.in,airtel.in,https://traispeedmoh1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedptn1.myspeed.tsp.airtel.in,airtel.in,https://traispeedptn1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedrch1.myspeed.tsp.airtel.in,airtel.in,https://traispeedrch1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedsan1.myspeed.tsp.airtel.in,airtel.in,https://traispeedsan1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedrai1.myspeed.tsp.airtel.in,airtel.in,https://traispeedrai1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedrkt1.myspeed.tsp.airtel.in,airtel.in,https://traispeedrkt1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedwfd1.myspeed.tsp.airtel.in,airtel.in,https://traispeedwfd1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedupl1.myspeed.tsp.airtel.in,airtel.in,https://traispeedupl1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedsaha1.myspeed.tsp.airtel.in,airtel.in,https://traispeedsaha1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedsur1.myspeed.tsp.airtel.in,airtel.in,https://traispeedsur1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedtar1.myspeed.tsp.airtel.in,airtel.in,https://traispeedtar1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedvjw1.myspeed.tsp.airtel.in,airtel.in,https://traispeedvjw1.myspeed.tsp.airtel.in:443,,,0,7569,4
u.airtel.in,airtel.in,https://u.airtel.in:443,,,0,7569,4
traispeedgmt1.myspeed.tsp.airtel.in,airtel.in,https://traispeedgmt1.myspeed.tsp.airtel.in:443,,,0,7569,4
traispeedjdh1.myspeed.tsp.airtel.in,airtel.in,https://traispeedjdh1.myspeed.tsp.airtel.in:443,,,0,7569,4
www.airtel.in,airtel.in,https://www.airtel.in:443,,"Airtel: Wi-Fi, Postpaid, Prepaid, DTH, Bank & Business",0,7569,5
traispeedman1.myspeed.tsp.airtel.in,airtel.in,https://traispeedman1.myspeed.tsp.airtel.in:443,,,0,7569,4
nullcon-securitybugs.airtel.in,airtel.in,http://nullcon-securitybugs.airtel.in:80,,,0,7569,4
airtel.in,airtel.in,https://s.rawat@airtel.in:443,,302 Found,0,7569,4
www.digimate.airtel.in,airtel.in,https://www.digimate.airtel.in:443,,301 Moved Permanently,0,7569,4
traispeedap1.myspeed.tsp.airtel.in,airtel.in,https://traispeedap1.myspeed.tsp.airtel.in:443,,,0,7569,4
scansuite.airtel.in,airtel.in,http://scansuite.airtel.in:80,,301 Moved Permanently,0,7569,4
speedtestchd1.airtel.in,airtel.in,http://speedtestchd1.airtel.in:80,,Application Control Violation,0,7569,4
www.lg.airtel.in,airtel.in,https://www.lg.airtel.in:443,,Commercial Communication Platform,0,7569,4
www.openapi.airtel.in,airtel.in,https://www.openapi.airtel.in:443,,301 Moved Permanently,0,7569,4
www.iqsmsorc.airtel.in,airtel.in,https://www.iqsmsorc.airtel.in:443,,301 Moved Permanently,0,7569,4
www.digivoice.airtel.in,airtel.in,https://www.digivoice.airtel.in:443,,,0,7569,4
traispeedmum1.myspeed.tsp.airtel.in,airtel.in,https://traispeedmum1.myspeed.tsp.airtel.in:443,,,0,7569,4
www.tracemateplus.airtel.in,airtel.in,https://www.tracemateplus.airtel.in:443,,Redirecting...,0,7569,4
zapi.airtel.in,airtel.in,https://zapi.airtel.in:443,,"Airtel: Wi-Fi, Postpaid, Prepaid, DTH, Bank & Business",0,7569,5
xsafeassets.airtel.in,airtel.in,https://xsafeassets.airtel.in:443,,Airtel XSafe - Smart security cameras - Blog,0,7569,4
